CountryCode,GDP_Decade_Start,GDP_Decade_End,GDP_Growth,Net_Decade_Start,Net_Decade_End,Net_Growth,CO2_Change,Score,Label
ISR,1990s,2010s,1.188,1990s,2010s,22.596,0.028,23.755,verde_digital
JOR,1990s,2010s,2.006,1990s,2010s,68.620,-0.296,70.626,verde_digital
JPN,1990s,2010s,0.178,1990s,2010s,16.050,0.936,15.292,crecimiento_bajo_o_mixto
LAC,1990s,2010s,1.460,2000s,2010s,1.290,0.180,2.570,crecimiento_bajo_o_mixto
LAO,1990s,2010s,6.105,1990s,2010s,1472.511,2.572,1476.044,digital_con_mas_emisiones
LBN,1990s,2010s,1.999,1990s,2010s,43.153,0.148,45.004,digital_con_mas_emisiones
LCA,1990s,2010s,1.005,1990s,2010s,59.118,0.600,59.524,digital_con_mas_emisiones
LDC,1990s,2010s,2.159,2000s,2010s,6.289,0.217,8.231,digital_con_mas_emisiones
LMC,1990s,2010s,2.764,2000s,2010s,2.916,0.046,5.634,crecimiento_bajo_o_mixto
LSO,1990s,2010s,1.503,1990s,2010s,1743.647,0.870,1744.281,digital_con_mas_emisiones
MEA,1990s,2010s,1.932,2000s,2010s,1.738,0.091,3.579,crecimiento_bajo_o_mixto
MKD,1990s,2010s,1.986,1990s,2010s,131.556,-0.280,133.541,verde_digital
MLI,1990s,2010s,2.337,1990s,2010s,665.709,11.968,656.077,digital_con_mas_emisiones
MNA,1990s,2010s,1.717,2000s,2010s,1.827,0.074,3.470,crecimiento_bajo_o_mixto
MNG,1990s,2010s,5.067,1990s,2010s,209.164,-0.518,214.231,verde_digital
NAM,1990s,2010s,1.240,1990s,2010s,241.051,0.692,241.599,digital_con_mas_emisiones
NER,1990s,2010s,0.834,1990s,2010s,818.897,0.847,818.883,crecimiento_bajo_o_mixto
NGA,1990s,2010s,1.402,1990s,2010s,1198.022,-0.708,1199.424,verde_digital
NZL,1990s,2010s,1.728,1990s,2010s,6.373,-0.173,8.101,verde_digital
PAK,1990s,2010s,2.175,1990s,2010s,551.584,0.005,553.755,verde_digital
PAN,1990s,2010s,2.928,1990s,2010s,48.161,0.155,50.934,digital_con_mas_emisiones
PNG,1990s,2010s,1.539,1990s,2010s,44.502,0.261,45.780,digital_con_mas_emisiones
POL,1990s,2010s,3.278,1990s,2010s,48.742,-0.534,52.020,verde_digital
